Keywords,Date and Time,Source,Event ID,Task Category
Failed Login,2025-01-04 00:06:39,192.168.109.52,1167,Authentication
Failed Login,2025-01-03 17:17:39,10.128.195.46,1771,Network
Failed Login,2025-01-03 19:26:39,192.168.54.200,1533,Authentication
Failed Login,2025-01-03 20:22:39,172.30.206.132,1589,Network
Failed Login,2025-01-03 17:41:39,192.168.110.46,1333,Authentication
Failed Login,2025-01-03 19:39:39,192.168.241.164,1241,Audit
Failed Login,2025-01-04 04:59:39,172.16.232.188,1699,Authentication
Failed Login,2025-01-03 18:33:39,172.31.249.129,1278,File System
Failed Login,2025-01-04 04:58:39,192.168.13.149,1700,Authentication
Failed Login,2025-01-04 07:42:39,172.24.222.218,1291,File System
Failed Login,2025-01-04 06:29:39,192.168.93.43,1842,Authentication
Failed Login,2025-01-04 01:03:39,192.168.175.254,1729,Network
Failed Login,2025-01-04 07:08:39,192.168.101.174,1775,Audit
Failed Login,2025-01-04 05:02:39,10.0.0.1,1851,Network
Failed Login,2025-01-04 13:50:39,10.114.176.157,1109,File System
